"Year","Freq","Count"
1800,0,0
1801,0,0
1802,0,0
1803,0,0
1804,0,0
1805,0,0
1806,0,0
1807,0,0
1808,0,0
1809,0,0
1810,0,0
1811,0,0
1812,0,0
1813,0,0
1814,0,0
1815,0,0
1816,0,0
1817,0,0
1818,0,0
1819,0,0
1820,0,0
1821,0,0
1822,0,0
1823,0,0
1824,0,0
1825,0,0
1826,0,0
1827,0,0
1828,0,0
1829,0,0
1830,0,0
1831,0,0
1832,0,0
1833,0,0
1834,0,0
1835,0,0
1836,0,0
1837,0,0
1838,0,0
1839,0,0
1840,0,0
1841,0,0
1842,0,0
1843,0,0
1844,0,0
1845,0,0
1846,0,0
1847,0,0
1848,0,0
1849,0,0
1850,0,0
1851,0,0
1852,0,0
1853,0,0
1854,0,0
1855,0,0
1856,0,0
1857,0,0
1858,0,0
1859,0,0
1860,0,0
1861,0,0
1862,0,0
1863,0,0
1864,0,0
1865,0,0
1866,0,0
1867,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,0,0
1879,0,0
1880,0,0
1881,0,0
1882,0,0
1883,0,0
1884,0,0
1885,0,0
1886,0,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,0,0
1894,0,0
1895,0,0
1896,0,0
1897,0,0
1898,0,0
1899,0,0
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,2.44215282916928e-11,0
1925,2.44215282916928e-11,0
1926,2.44215282916928e-11,0
1927,2.44215282916928e-11,0
1928,2.44215282916928e-11,0
1929,2.44215282916928e-11,0
1930,2.44215282916928e-11,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,0,0
1969,0,0
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,0,0
1983,0,0
1984,0,0
1985,0,0
1986,6.90855507721823e-12,0
1987,6.90855507721823e-12,0
1988,6.90855507721823e-12,0
1989,6.90855507721823e-12,0
1990,1.35660168614533e-11,0
1991,2.01352853041697e-11,0
1992,2.6497631469954e-11,1
1993,2.60304352477687e-11,1
1994,4.5539825382912e-11,1
1995,9.02497436902231e-11,2
1996,1.28061981158334e-10,3
1997,1.32909569263072e-10,3
1998,1.37895875769654e-10,3
1999,1.42380017002587e-10,3
2000,1.46323515803903e-10,4
2001,1.52167775403976e-10,4
2002,1.66511948079024e-10,4
2003,1.54490397657232e-10,4
2004,1.73264622887232e-10,5
2005,1.6667764143092e-10,4
2006,2.22736595536669e-10,6
2007,2.44554704364226e-10,7
2008,2.72111849422155e-10,8
2009,2.46247193766821e-10,7
2010,2.90052748188766e-10,8
2011,2.96912649724471e-10,8
2012,3.50682490982531e-10,12
2013,3.31936252294186e-10,11
2014,3.46495031079895e-10,11
2015,3.5875228977998e-10,10
2016,3.75630736832682e-10,10
2017,3.57040244591822e-10,10
2018,3.76453446193636e-10,10
2019,3.67774546927713e-10,8
